DATE,Ref_Index,Index.Ratio
1998-04-01,162.2,1
1998-05-01,162.6,1.002466091
1998-06-01,162.8,1.003699137
1998-07-01,163.2,1.006165228
1998-08-01,163.4,1.007398274
1998-09-01,163.5,1.008014797
1998-10-01,163.9,1.010480888
1998-11-01,164.1,1.011713933
1998-12-01,164.4,1.013563502
1999-01-01,164.7,1.01541307
1999-02-01,164.7,1.01541307
1999-03-01,164.8,1.016029593
1999-04-01,165.9,1.022811344
1999-05-01,166,1.023427867
1999-06-01,166,1.023427867
1999-07-01,166.7,1.027743527
1999-08-01,167.1,1.030209618
1999-09-01,167.8,1.034525277
1999-10-01,168.1,1.036374846
1999-11-01,168.4,1.038224414
1999-12-01,168.8,1.040690506
2000-01-01,169.3,1.04377312
2000-02-01,170,1.048088779
2000-03-01,171,1.054254007
2000-04-01,170.9,1.053637485
2000-05-01,171.2,1.055487053
2000-06-01,172.2,1.061652281
2000-07-01,172.7,1.064734895
2000-08-01,172.7,1.064734895
2000-09-01,173.6,1.0702836
2000-10-01,173.9,1.072133169
2000-11-01,174.2,1.073982737
2000-12-01,174.6,1.076448829
2001-01-01,175.6,1.082614057
2001-02-01,176,1.085080148
2001-03-01,176.1,1.085696671
2001-04-01,176.4,1.087546239
2001-05-01,177.3,1.093094945
2001-06-01,177.7,1.095561036
2001-07-01,177.4,1.093711467
2001-08-01,177.4,1.093711467
2001-09-01,178.1,1.098027127
2001-10-01,177.6,1.094944513
2001-11-01,177.5,1.09432799
2001-12-01,177.4,1.093711467
2002-01-01,177.7,1.095561036
2002-02-01,178,1.097410604
2002-03-01,178.5,1.100493218
2002-04-01,179.3,1.105425401
2002-05-01,179.5,1.106658446
2002-06-01,179.6,1.107274969
2002-07-01,180,1.10974106
2002-08-01,180.5,1.112823674
2002-09-01,180.8,1.114673243
2002-10-01,181.2,1.117139334
2002-11-01,181.5,1.118988903
2002-12-01,181.8,1.120838471
2003-01-01,182.6,1.125770654
2003-02-01,183.6,1.131935882
2003-03-01,183.9,1.13378545
2003-04-01,183.2,1.12946979
2003-05-01,182.9,1.127620222
2003-06-01,183.1,1.128853268
2003-07-01,183.7,1.132552404
2003-08-01,184.5,1.137484587
2003-09-01,185.1,1.141183724
2003-10-01,184.9,1.139950678
2003-11-01,185,1.140567201
2003-12-01,185.5,1.143649815
2004-01-01,186.3,1.148581998
2004-02-01,186.7,1.151048089
2004-03-01,187.1,1.15351418
2004-04-01,187.4,1.155363748
2004-05-01,188.2,1.160295931
2004-06-01,188.9,1.164611591
2004-07-01,189.1,1.165844636
2004-08-01,189.2,1.166461159
2004-09-01,189.8,1.170160296
2004-10-01,190.8,1.176325524
2004-11-01,191.7,1.181874229
2004-12-01,191.7,1.181874229
2005-01-01,191.6,1.181257707
2005-02-01,192.4,1.186189889
2005-03-01,193.1,1.190505549
2005-04-01,193.7,1.194204686
2005-05-01,193.6,1.193588163
2005-06-01,193.7,1.194204686
2005-07-01,194.9,1.201602959
2005-08-01,196.1,1.209001233
2005-09-01,198.8,1.225647349
2005-10-01,199.1,1.227496917
2005-11-01,198.1,1.221331689
2005-12-01,198.1,1.221331689
2006-01-01,199.3,1.228729963
2006-02-01,199.4,1.229346486
2006-03-01,199.7,1.231196054
2006-04-01,200.7,1.237361282
2006-05-01,201.3,1.241060419
2006-06-01,201.8,1.244143033
2006-07-01,202.9,1.250924784
2006-08-01,203.8,1.25647349
2006-09-01,202.8,1.250308261
2006-10-01,201.9,1.244759556
2006-11-01,202,1.245376079
2006-12-01,203.1,1.25215783
2007-01-01,203.437,1.254235512
2007-02-01,204.226,1.259099877
2007-03-01,205.288,1.265647349
2007-04-01,205.904,1.269445129
2007-05-01,206.755,1.274691739
2007-06-01,207.234,1.277644883
2007-07-01,207.603,1.279919852
2007-08-01,207.667,1.280314427
2007-09-01,208.547,1.285739827
2007-10-01,209.19,1.289704069
2007-11-01,210.834,1.299839704
2007-12-01,211.445,1.303606658
2008-01-01,212.174,1.30810111
2008-02-01,212.687,1.311263872
2008-03-01,213.448,1.31595561
2008-04-01,213.942,1.319001233
2008-05-01,215.208,1.326806412
2008-06-01,217.463,1.340709001
2008-07-01,219.016,1.3502836
2008-08-01,218.69,1.348273736
2008-09-01,218.877,1.349426634
2008-10-01,216.995,1.337823674
2008-11-01,213.153,1.314136868
2008-12-01,211.398,1.303316893
2009-01-01,211.933,1.30661529
2009-02-01,212.705,1.311374846
2009-03-01,212.495,1.310080148
